ID,lnwage
1249,3.160509761
257,2.624473815
849,3.18172136
15,2.863906625
1475,2.547308774
639,2.905264427
900,2.52349064
841,2.62923543
1464,2.687560715
655,3.383638585
244,3.088392803
954,2.401062046
1169,2.179070554
964,2.655740843
327,3.578789066
1428,2.127092485
1234,3.165182302
531,2.919823173
580,2.265740831
644,2.892519269
990,3.174866778
1293,2.088054276
1002,2.671319939
780,3.245342466
532,3.134095446
198,3.246034917
705,2.60269109
969,2.725259557
979,2.442281274
940,2.707208644
1032,3.302523035
1479,3.233588661
539,2.353471534
481,2.756366949
633,2.617674823
109,2.939664655
123,2.729782589
119,1.83046893
909,3.097599379
650,2.253912113
1253,2.826793578
844,2.67471596
998,2.744996268
1029,2.780306757
647,3.384647874
312,2.393662569
102,2.91964383
251,3.561314353
813,3.09327583
186,3.108805738
459,2.710451527
141,2.905952631
905,3.375377
1041,2.681030891
417,2.954041297
1218,3.279101193
493,3.252448757
1059,2.995482351
1066,2.420930917
1017,2.972344468
1401,2.898866984
846,2.815732762
572,3.628279051
1096,3.012091189
776,3.275620692
888,2.539771868
735,2.694206183
904,2.561564367
834,2.968426235
1161,3.328009529
917,2.694965736
193,2.426304852
272,3.065519684
908,3.180264019
519,2.528914693
1215,3.058094363
377,2.62210413
50,2.862586327
1362,3.290343936
858,2.281011702
472,2.398005892
1093,2.55319098
513,2.221815356
80,3.006240591
4,2.277928577
221,3.337067866
1121,3.053028456
534,3.255910067
708,2.360550851
303,2.932768638
1492,2.42423332
184,2.739926911
637,2.474466683
883,2.394075228
441,2.447174747
1478,3.097755901
1342,2.810132306
267,3.180437934
599,2.578305209
1131,2.77448556
1220,2.459767118
1426,3.187273221
1437,2.425160437
1061,3.081899287
902,2.847137074
629,2.149050275
263,2.678399777
1366,3.039404051
179,2.784878041
741,2.981354454
1,2.648134581
1472,2.487206412
547,2.689016631
1057,2.79276363
1130,2.728714109
1223,2.809419352
645,3.248004495
842,3.156862713
347,3.431958646
19,2.474962523
93,2.639900308
792,2.510683683
993,3.077305277
748,2.791292315
1172,3.102737733
456,2.158121592
1162,2.88925773
835,2.553903145
338,2.865837395
1210,2.450407421
1024,2.523031782
1272,3.160432737
453,2.573998782
444,2.870677388
487,2.918152064
1427,3.187689659
88,2.73681247
280,3.228432703
311,2.884532349
654,2.849207061
1200,2.649960123
12,2.724624947
1170,3.243022108
262,3.305014145
390,2.901014433
148,2.648527607
74,1.938669426
509,2.932060506
1326,2.20914103
1241,2.410701531
65,2.218088426
1278,3.21273132
1404,2.759727686
550,3.089921181
42,2.700053216
285,3.395357514
380,2.26915482
793,2.672761702
1320,2.302736847
874,2.731310024
686,2.832772285
1435,2.442258306
147,2.984376134
566,2.599679848
1094,2.121174837
1489,2.463803747
144,2.578747326
867,2.56205907
1126,3.411372398
451,2.537134335
986,2.609022155
1343,3.114542939
1486,2.924943492
676,3.383320504
64,2.985576615
170,2.721441646
1205,3.529258399
806,2.966488478
926,1.994401705
479,3.017424384
462,2.408832986
968,2.401225276
6,3.205423712
1021,2.760987638
694,3.172846012
467,3.616658491
1395,2.734990279
489,2.919453014
559,2.944988441
259,2.586323938
1283,2.661546779
171,2.739609087
388,3.476182751
638,3.248134631
524,2.627026179
1454,2.809215129
225,2.758998903
1321,3.481232397
529,2.94308057
1487,3.007527427
1500,2.574646811
634,3.119658697
967,2.65510771
41,2.706449707
567,2.834194647
412,2.914445211
1239,2.450371989
1150,2.810041321
1224,3.117934523
1281,2.921521123
454,2.716446504
140,2.371320241
790,2.058000199
111,3.174970105
439,2.591888436
890,2.802933663
116,2.158742031
365,3.02094401
671,2.948106452
1216,2.718924238
973,3.238653978
127,2.791687464
268,1.897122465
823,2.381269433
807,2.796444591
131,2.940025973
125,2.905827935
1053,2.936037816
736,2.294303821
533,2.656820377
809,2.483826358
771,2.863712086
422,3.312092212
590,2.288588099
1243,2.607162209
1186,2.914669992
250,2.818847127
155,2.952949975
1441,2.679739621
1152,2.752900349
1178,3.263676089
1350,2.489117533
204,2.636423494
413,2.817038882
323,2.593602884
105,2.978423922
284,3.450836617
52,3.213110866
1306,2.807757126
894,2.976707218
342,2.736240235
1084,3.08621408
687,2.756012765
237,2.992704427
57,2.375517855
195,2.553258666
108,3.092650605
1018,3.389057865
405,2.614484319
200,2.796248058
475,3.158566604
450,2.090392037
1315,2.440864051
1467,3.108290896
781,3.088199732
315,3.038850308
1189,2.275626692
779,2.6697115
1212,3.128779395
851,2.568389338
616,2.210092094
1237,3.384766041
1109,3.243781452
79,3.340308934
668,3.114939694
746,2.630580586
581,2.68987688
68,2.397913003
143,2.901351487
1003,3.010035825
897,2.913454564
1357,2.70353904
553,3.427201172
1027,2.001582418
223,2.688452815
26,2.590410235
395,2.515937112
432,1.98037023
403,2.232265855
107,3.162826929
1263,3.418078815
296,3.606082409
884,2.658941829
1271,3.110903821
1012,2.927680194
1087,2.63579707
1291,2.574968078
1286,3.21731067
710,2.405125024
625,3.688865291
205,2.830919614
1424,2.933038616
1267,2.826188648
1022,2.636477516
62,1.920318482
1335,3.15917358
1420,2.412285128
658,2.292244176
58,3.017270424
1414,3.319599872
857,3.379911762
593,2.962451508
1397,2.547962818
182,2.610314558
1048,2.083719746
977,2.440086732
379,2.48867612
385,2.420384958
13,2.458187826
873,2.804015143
40,3.25445157
652,2.705059026
1171,2.804578654
1105,2.608368496
544,2.706062623
1388,2.392178742
369,3.120261755
340,2.723894168
1359,3.202365134
1325,3.36357407
497,2.935156613
1347,2.822449573
1269,3.057885101
1449,3.404732279
1494,3.196131146
930,2.979804362
71,2.69526752
1052,3.26085213
210,2.668816665
1413,2.138897478
1348,3.088957528
840,2.62319913
785,3.051058596
865,2.498494947
161,2.996636706
681,2.718399919
1211,3.105675521
240,3.199956001
488,2.848479003
585,2.581857756
416,3.261381552
1045,3.184938423
1496,3.402262806
562,2.40691808
430,3.375304643
232,2.599618518
1046,2.573784237
1163,2.267614553
114,2.678746732
856,2.438862619
1206,1.619195311
17,3.458879825
774,2.520186983
760,3.328357323
864,2.629108183
715,2.728383469
510,2.380613682
711,2.185132741
169,2.842939651
783,2.633629426
1067,2.479777991
963,2.969105313
1336,2.960455517
714,3.295549775
721,2.6840811
819,3.08731481
1311,3.222952073
587,2.737490409
560,3.284595018
24,2.348545374
354,2.631800023
1001,2.513469188
512,2.624916871
59,3.050521394
730,3.123397805
391,3.125469015
279,3.002654274
1099,2.839916763
918,2.747679189
885,3.42765823
1183,1.766719619
1085,2.78994298
392,2.798823793
357,2.823594751
548,3.163406449
483,2.996700877
304,3.678174081
128,3.00089904
928,3.017242986
476,2.734864107
293,3.398930979
540,2.807992618
1254,2.530047566
207,3.026940994
1042,2.510492373
1192,2.226254584
